name1,name2,cat_id,name1_clean,name2_clean
کاپشن مردانه COLINS کد CL1055715,,0,کاپشن مردانه COLINS کد CL ۱۰۵۵۷۱۵,nan
کاپشن مردانه طرح لویی ویتون کد 4285,,0,کاپشن مردانه طرح لویی ویتون کد ۴۲۸۵,nan
پالتو پشمی هوگرو مردانه 10436,,0,پالتو پشمی هوگرو مردانه ۱۰۴۳۶,nan
کاپشن شمعی مردانه PHILIPP PLEIN رنگ سبز یشمی,,0,کاپشن شمعی مردانه PHILIPP PLEIN رنگ سبز یشمی,nan
کاپشن خلبانی چرمی نوبوک یقه خز قهوه ای مردانه نیروی هوایی دری مد,,0,کاپشن خلبانی چرمی نوبوک یقه خز قهوهای مردانه نیروی هوایی دری مد,nan
کاپشن دوپوش,,0,کاپشن دوپوش,nan
پالتو فوتر ترک,,0,پالتو فوتر ترک,nan
کاپشن شمعی مردانه مدل PHILIPP PLEIN رنگ سبز زیتونی درسایزهای XL XXL,,0,کاپشن شمعی مردانه مدل PHILIPP PLEIN رنگ سبز زیتونی درسایزهای XL XXL,nan
پافر زنانه و مردانه 36054,,0,پافر زنانه مردانه ۳۶۰۵۴,nan
کاپشن پلیسی کمر کش دار,,0,کاپشن پلیسی کمر کش,nan
کاپشن مردانه ریباک REEBOK IC9165,,0,کاپشن مردانه ریباک REEBOK IC ۹۱۶۵,nan
کاپشن ضد آب برند نویکا ا Nevica,Nevica,0,کاپشن ضد آب برند نویکا ا Nevica,Nevica
کاپشن چرم مردانه مدل Artim ا Artim,Artim,0,کاپشن چرم مردانه مدل Artim ا Artim,Artim
کاپشن کتان مردانه,,0,کاپشن کتان مردانه,nan
کاپشن شمعی مردانه PHILIPP PLEIN رنگ شتری,,0,کاپشن شمعی مردانه PHILIPP PLEIN رنگ شتری,nan
کاپشن تمام چرمی ریس برند SPYKE ایتالیا,,0,کاپشن چرمی ریس برند SPYKE ایتالیا,nan
کاپشن مردانه کتان داخل خز ضخیم برند جیپ سنگشور شده,,0,کاپشن مردانه کتان داخل خز ضخیم برند جیپ سنگشور,nan
بادگیر خارجی داخل استر مردانه و پسرانه|رنگ بندی و سایز بندی کامل| فروشگاه سام سنتر - L / سرمه ای سفید,,0,بادگیر خارجی داخل استر مردانه پسرانهرنگ سایز فروشگاه سام سنتر L سرمهای سفید,nan
کاپشن مردانه فلیپ بلین ترک - s,,0,کاپشن مردانه فلیپ بلین ترک s,nan
تدی مردانه خوزان,,0,تدی مردانه خوزان,nan
کاپشن پاف مردانه فورکلاز – پر – آبی – MT500 -10°C,,0,کاپشن پاف مردانه فورکلاز آبی MT ۵۰۰ ۱۰ C,nan
کاپشن مموری مردانه بادی Kiyan 40317 - XL,,0,کاپشن مموری مردانه بادی Kiyan ۴۰۳۱۷ XL,nan
بارانی مردانه کچوا- مشکی – زیپ کامل Raincut,,0,بارانی مردانه کچوا مشکی زیپ Raincut,nan
کاپشن الیاف مردانه فورکلاز مدل Trek 100 کد 127375,,0,کاپشن الیاف مردانه فورکلاز مدل Trek ۱۰۰ کد ۱۲۷۳۷۵,nan
کاپشن وارداتی,,0,کاپشن وارداتی,nan
کاپشن پوست ماری مردانه رنگ بندی و سایز بندی کامل و شیک |سام سنتر - L / مشکی,,0,کاپشن پوستماری مردانه رنگبندی سایز شیک سام سنتر L مشکی,nan
بادگیر بلوز شلوار دیجیتالی سبز خزدار درجه 1,,0,بادگیر بلوز شلوار دیجیتالی سبز خزدار درجه ۱,nan
کاپشن چرم کنیاک مردانه فورد دری مد,,0,کاپشن چرم کنیاک مردانه فورد دری مد,nan
کاپشن اورجینال نیم تنه پلیسی,,0,کاپشن اورجینال نیمتنه پلیسی,nan
کاپشن چرم مشکی اسپرت مردانه پاسکال دری مد,,0,کاپشن چرم مشکی اسپرت مردانه پاسکال دری مد,nan
کاپشن شمعی مردانه مدل DEFACTO رنگ سرمه ای,,0,کاپشن شمعی مردانه مدل DEFACTO رنگ سرمهای,nan
کاپشن پر سنگین برند کلمبیا ا Colombia,Colombia,0,کاپشن سنگین برند کلمبیا ا Colombia,Colombia
کاپشن سلیکونی,,0,کاپشن سلیکونی,nan
HORSEFEATHERS HALEN II INSULATED BLUE MIRAGE,,0,HORSEFEATHERS HALEN II INSULATED BLUE MIRAGE,nan
پالتو مردانه مدل ماهوت یقه بلیزر کد TH رنگ سرمه ای,,0,پالتو مردانه مدل ماهوت یقه بلیزر کد TH رنگ سرمهای,nan
بادگیر اورجینال برند معتبر و استثنای Jeantex آلمان,,0,بادگیر اورجینال برند معتبر استثنای Jeantex آلمان,nan
کاپشن چرم اسلیم فیت اسلیم فیت قهوه ای دورانت مردانه دری مد,,0,کاپشن چرم اسلیم فیت اسلیم فیت قهوهای دورانت مردانه دری مد,nan
کاپشن پر مردانه کرمی روشن کد 4565,,0,کاپشن مردانه کرمی روشن کد ۴۵۶۵,nan
پافر دو رو داخل تدی مردانه و پسرانه شیک سایز بندی و رنگ بندی کامل کیفیت بالا |فروشگاه سام سنتر - M / مشکی,,0,پافر داخل تدی مردانه پسرانه شیک سایز رنگبندی کیفیت فروشگاه سام سنتر M مشکی,nan
کاپشن اورکت آمریکایی جیپ کد C8823,,0,کاپشن اورکت آمریکایی جیپ کد C ۸۸۲۳,nan
کاپشن و بارونی,,0,کاپشن بارونی,nan
کاپشن مردانه C151,,0,کاپشن مردانه C ۱۵۱,nan
کاپشن مردانه پشمه شیشه‌دار - مدل کمرکش,,0,کاپشن مردانه پشمه شیشهدار مدل کمرکش,nan
پافر مردانه کد 19562 ا Men's west,Men's west,0,پافر مردانه کد ۱۹۵۶۲ ا Mens west,Mens west
کاپشن بهاره مردانه آندر آرمور مدل UA SPORTSTYLE,,0,کاپشن بهاره مردانه آندر آرمور مدل UA SPORTSTYLE,nan
کاپشن پافر مردانه - L / مموری,,0,کاپشن پافر مردانه L مموری,nan
کاپشن مموری مردانه Alma 39603 - XL,,0,کاپشن مموری مردانه Alma ۳۹۶۰۳ XL,nan
کاپشن مردانه آبی مشکی مدل 1384,,0,کاپشن مردانه آبی مشکی مدل ۱۳۸۴,nan
کاپشن یقه دار مردانه هوگرو 10356,,0,کاپشن یقه مردانه هوگرو ۱۰۳۵۶,nan
کاپشن مردانه Fila مدل Silva نوک مدادی جنس پارچه مموری 3 لایه دارای یک لایه پشم شیشه سایز L قد کاپشن 75cm,,0,کاپشن مردانه Fila مدل Silva نوک مدادی جنس پارچه مموری ۳ لایه یکلایه پشمشیشه سایز L قد کاپشن ۷۵ cm,nan
پالتو مردانه مشکی چرم خزدار,,0,پالتو مردانه مشکی چرم خزدار,nan
تی شرت,,0,تیشرت,nan
پالتو مردانه فوتر دیورسو Diverso,,0,پالتو مردانه فوتر دیورسو Diverso,nan
کاپشن جین-آلومینیوم سپاس,,0,کاپشن جینآلومینیوم سپاس,nan
کاپشن چرم مردانه سیاه برند derimod 5638115972 ا Siyah Kawhi Erkek Deri Ceket,Siyah Kawhi Erkek Deri Ceket,0,کاپشن چرم مردانه سیاه برند derimod ۵۶۳۸۱۱۵۹۷۲ ا Siyah Kawhi Erkek Deri Ceket,Siyah Kawhi Erkek Deri Ceket
پافر زارا,,0,پافر زارا,nan
کاپشن چرم مردانه Chao مدل 2908,,0,کاپشن چرم مردانه Chao مدل ۲۹۰۸,nan
کاپشن دو روی پاییزه زمستانه مردانه رنگ مشکی سورمه ای کد 1641,,0,کاپشن پاییزه زمستانه مردانه رنگ مشکی سورمهای کد ۱۶۴۱,nan
کاپشن پاول اند شارک مردانه - Paul&Shark 12312150,,0,کاپشن پاول شارک مردانه PaulShark ۱۲۳۱۲۱۵۰,nan
کاپشن پلار قایا(Gaya) مدل آنا,,0,کاپشن پلار قایا Gaya مدل آنا,nan
کاپشن۲۶۸۶,,0,کاپشن ۲۶۸۶,nan
کاپشن مردانه مدل Sezar,,0,کاپشن مردانه مدل Sezar,nan
کاپشن اوری تو خز مارک جیپ با کیفیت خیلی بالا ضد آب | امریکایی | کاپشن اصل | کاپشن خارجی اصل | پوشاک خارجی | آمریکایی | اروپایی | عربی | اماراتی | دبی | محصولات پوشاک اصل | محصولات پوشاک اورجینال | کاپشن اورجینال آمریکایی | کاپشن امریکایی,,0,کاپشن اوری خز مارک جیپ کیفیت ضد آب امریکایی کاپشن اصل کاپشن خارجی اصل پوشاک خارجی آمریکایی اروپایی عربی اماراتی دبی محصولات پوشاک اصل محصولات پوشاک اورجینال کاپشن اورجینال آمریکایی کاپشن امریکایی,nan
کاپشن مردانه چرم طبیعی گوسفندی سهندچرم کدk-501,,0,کاپشن مردانه چرم طبیعی گوسفندی سهندچرم کدk ۵۰۱,nan
کاپشن دولایه دوپوش مارک نورث فیس North در سه رنگ متفاوت | کاپشن اصل | کاپشن خارجی اصل | پوشاک خارجی | آمریکایی | اروپایی | عربی | اماراتی | دبی | محصولات پوشاک اصل | محصولات پوشاک اورجینال | کاپشن اورجینال | کاپشن شیک | کاپشن پسرانه | هدیه تولد | روز مرد | کادویی | کاپشن مردانه | کاپشن اسپورت | کاپشن مردانه اسپورت | کاپشن کلاهدار,,0,کاپشن دولایه دوپوش مارک نورث فیس North رنگ کاپشن اصل کاپشن خارجی اصل پوشاک خارجی آمریکایی اروپایی عربی اماراتی دبی محصولات پوشاک اصل محصولات پوشاک اورجینال کاپشن اورجینال کاپشن شیک کاپشن پسرانه هدیه تولد روز مرد کادویی کاپشن مردانه کاپشن اسپورت کاپشن مردانه اسپورت کاپشن کلاهدار,nan
بادگیر لاگوست اسپرت فوق العاده شیک و با کیفیت,,0,بادگیر لاگوست اسپرت فوقالعاده شیک کیفیت,nan
کاپشن چرم عسلی تیره مردانه پاییزه زمستانه واکس خور (به همراه واکس مخصوص) کد 1614,,0,کاپشن چرم عسلی تیره مردانه پاییزه زمستانه واکس خور همراه واکس مخصوص کد ۱۶۱۴,nan
پافر چرم داخل خز ببعی مردانه و پسرانه| رنگ‌بندی و سایز بندی کامل شیک| کیفیت بالا |فروشگاه سام سنتر - L / سبز,,0,پافر چرم داخل خز ببعی مردانه پسرانه رنگبندی سایز شیک کیفیت فروشگاه سام سنتر L سبز,nan
کاپشن چرم مشکی مردانه مولر دری مد,,0,کاپشن چرم مشکی مردانه مولر دری مد,nan
کاپشن مردانه نیم اور مارک کلمبیا Columbia درجه یک بسیار با کیفیت | کاپشن اسپورت مردانه | کاپشن مردانه پفکی | کاپشن اصل | کاپشن اورجینال | امریکایی | کانادایی | اروپایی | المانی | عربی | اماراتی | کاپشن پفی | کاپشن خارجی اصل | کاپشن مردانه زمستانی | کاپشن پسرانه اصل | کاپشن تاکتیکال و کوهنوردی,,0,کاپشن مردانه نیم اور مارک کلمبیا Columbia درجه کیفیت کاپشن اسپورت مردانه کاپشن مردانه پفکی کاپشن اصل کاپشن اورجینال امریکایی کانادایی اروپایی المانی عربی اماراتی کاپشن پفی کاپشن خارجی اصل کاپشن مردانه زمستانی کاپشن پسرانه اصل کاپشن تاکتیکال کوهنوردی,nan
کاپشن چرم قهوه ای مردانه Kawhi,,0,کاپشن چرم قهوهای مردانه Kawhi,nan
پافر مردانه مدل بوفالو کد 8521 رنگ سبز,,0,پافر مردانه مدل بوفالو کد ۸۵۲۱ رنگ سبز,nan
کاپشن دو رو سایز بزرگ طرح کتان 120127-3,,0,کاپشن سایز طرح کتان ۱۲۰۱۲۷ ۳,nan
کاپشن,,0,کاپشن,nan
کاپشن راه راه برند Vamos - کیفیت A، رنگ‌های مشکی و سفید - سفید و آبی,,0,کاپشن راهراه برند Vamos کیفیت A ، رنگهای مشکی سفید سفید آبی,nan
کاپشن چرم بلند مشکی مردانه ادرسون دری مد,,0,کاپشن چرم بلند مشکی مردانه ادرسون دری مد,nan
کاپشن وینداستاپر اسنوهاک کد G210 رنگ نارنجی,,0,کاپشن وینداستاپر اسنوهاک کد G ۲۱۰ رنگ نارنجی,nan
کاپشن چرم کلاه دارمردانه رنگ قهوه ای و پشم شیشه دار زمستانه طرح جدید کد 1663,,0,کاپشن چرم کلاه دارمردانه رنگ قهوهای پشمشیشه زمستانه طرح کد ۱۶۶۳,nan
کاپشن چرم . موجود در تمام سایزبندی . رنگبندی:مشکی ،طوسی،شتری,,0,کاپشن چرم موجود سایزبندی رنگبندی مشکی ، طوسی ، شتری,nan
اورکت جیپ کد C21922,,0,اورکت جیپ کد C ۲۱۹۲۲,nan
کاپشن پر سبک (پر اردک)، مخصوص کوهنوردی، رنگ قرمز نورث فیس,,0,کاپشن سبک اردک ، مخصوص کوهنوردی ، رنگ قرمز نورث فیس,nan
کاپشن و بارونی,,0,کاپشن بارونی,nan
کاپشن مردانه دورو بهاره و پاییزه آرپو مدل اروند رنگ مشکی و طوسی تیره,,0,کاپشن مردانه دورو بهاره پاییزه آرپو مدل اروند رنگ مشکی طوسی تیره,nan
کاپشن زیر مردانه دورو 319421 ا Double men's down jacket 319421,Double men's down jacket 319421,0,کاپشن مردانه دورو ۳۱۹۴۲۱ ا Double mens down jacket ۳۱۹۴۲۱,Double mens down jacket ۳۱۹۴۲۱
کاپشن مردانه مدل امید,,0,کاپشن مردانه مدل امید,nan
کاپشن دوپوش مردانه اسنوهاک,,0,کاپشن دوپوش مردانه اسنوهاک,nan
کاپشن الیاف کچوا / FORCLAZ – مدل Trek 100/ سرمه ای,,0,کاپشن الیاف کچوا FORCLAZ مدل Trek ۱۰۰ سرمهای,nan
کاپشن کلاهدار مردانه کتان,,0,کاپشن کلاهدار مردانه کتان,nan
کاپشن اسکی مردانه برند دکاتلون اصل TYCWI4LWUN170170250831072,,0,کاپشن اسکی مردانه برند دکاتلون اصل TYCWI ۴ LWUN ۱۷۰۱۷۰۲۵۰۸۳۱۰۷۲,nan
کاپشن مردانه Redcher مدل 1642,,0,کاپشن مردانه Redcher مدل ۱۶۴۲,nan
پالتو مردانه مدل ریچارد کد 2842 وستی شاپ مدل 300530,,0,پالتو مردانه مدل ریچارد کد ۲۸۴۲ وستی شاپ مدل ۳۰۰۵۳۰,nan
کاپشن مردانه Loiser مدل 1550,,0,کاپشن مردانه Loiser مدل ۱۵۵۰,nan
کاپشن مردانه آبتین,,0,کاپشن مردانه آبتین,nan
کاپشن گلن نیکر با لاینینگ شرپا مردانه از کلمبیا COLUMBIA GLENNAKER SHERPA LINED JACKET MENS,,0,کاپشن گلن نیکر لاینینگ شرپا مردانه کلمبیا COLUMBIA GLENNAKER SHERPA LINED JACKET MENS,nan
پالتو بارونی مردانه سدرا,,0,پالتو بارونی مردانه سدرا,nan
پالتو مردانه مدل مخمل جودون یقه بلیزر رنگ قرمز,,0,پالتو مردانه مدل مخمل جودون یقه بلیزر رنگ قرمز,nan
کت کاپشن چرم سفید داخل تمام خز درجه یک ا White Leather Jacket Coat,White Leather Jacket Coat,0,کت کاپشن چرم سفید داخل خز درجه ا White Leather Jacket Coat,White Leather Jacket Coat
کاپشن قواره دار ضخیم برزنتی با عایق پشم شیشه رنگ کاراملی شیک,,0,کاپشن قواره ضخیم برزنتی عایق پشمشیشه رنگ کاراملی شیک,nan
کاپشن شمعی مردانه PHILIPP PLEIN رنگ خاکستری,,0,کاپشن شمعی مردانه PHILIPP PLEIN رنگ خاکستری,nan
کاپشن لایکو مهندسی زمستانی,,0,کاپشن لایکو مهندسی زمستانی,nan
پالتو مردانه مدل سناتور ضد آب کد 005,,0,پالتو مردانه مدل سناتور ضد آب کد ۰۰۵,nan
بادگیر و بارانی نیم زیپ ضدآب کچوا فرانسه (اورجینال),,0,بادگیر بارانی نیم زیپ ضدآب کچوا فرانسه اورجینال,nan
کاپشن مردانه مشکی مدل NASA,,0,کاپشن مردانه مشکی مدل NASA,nan
Unisex Yağmur Rüzgar Geçirmez Bomber Oversize Mont Ceket Kaban Waterproof,,0,Unisex Yamur Rzgar Geirmez Bomber Oversize Mont Ceket Kaban Waterproof,nan
حراج آخر فصل کاپشن مردانه,,0,حراج آخر فصل کاپشن مردانه,nan
کاپشن دوپوش مردانه outdoorsport,,0,کاپشن دوپوش مردانه outdoorsport,nan
کاپشن مردانه برند ترندیول اصل ML TOAS 1TOAS01 3PR,,0,کاپشن مردانه برند ترندیول اصل ML TOAS ۱ TOAS ۰۱ ۳ PR,nan
کاپشن پَر نورث فیس (فیروزه ایی) مدل APP-206,,0,کاپشن نورث فیس فیروزه ایی مدل APP ۲۰۶,nan
کاپشن داخل چرم خزدار برند RHONES کد 1703145966,,0,کاپشن داخل چرم خزدار برند RHONES کد ۱۷۰۳۱۴۵۹۶۶,nan
کاپشن زمستانه چرم مردانه رنگ سورمه ای کد 1225,,0,کاپشن زمستانه چرم مردانه رنگ سورمهای کد ۱۲۲۵,nan
‏كاپشن بهاره و پاييزه کتان کد 6671,,0,کاپشن بهاره پاییزه کتان کد ۶۶۷۱,nan
کاپشن مردانه قواره دار دورویه اعلاپارچه اعلا سیلیکونی سبز سایزبندی lتا۳xl,,0,کاپشن مردانه قواره دورویه اعلاپارچه اعلا سیلیکونی سبز سایزبندی lتا ۳ xl,nan
کاپشن مردانه برند جک اند جونز اصل TYCJFGML7N169985826957219,,0,کاپشن مردانه برند جک جونز اصل TYCJFGML ۷ N ۱۶۹۹۸۵۸۲۶۹۵۷۲۱۹,nan
پالتو مردانه مدل ماهوت یقه انگلیسی کد TH رنگ مشکی,,0,پالتو مردانه مدل ماهوت یقه انگلیسی کد TH رنگ مشکی,nan
کاپشن ضد آب مردانه برفی کچوا / ژاکت زمستانی – قهوه ای – SH500 -10°C,,0,کاپشن ضد آب مردانه برفی کچوا ژاکت زمستانی قهوهای SH ۵۰۰ ۱۰ C,nan
پافر مردانه,,0,پافر مردانه,nan
کاپشن کوهنوردی مردانه کلمبیا مدل OMNI-HEAT,,0,کاپشن کوهنوردی مردانه کلمبیا مدل OMNIHEAT,nan
بادگیر مشتی بزمان پرو برند لاریما LARIMO رنگ آبی تیره,,0,بادگیر مشتی بزمان پرو برند لاریما LARIMO رنگ آبی تیره,nan
کاپشن کار بوفالو (مهندسی),,0,کاپشن کار بوفالو مهندسی,nan
